c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
62.73461;50.619755;31.243856;31.243856;0.8247392;0.0;0;-34.61019562296599;-15.276022249529262;34.81194175765721;15.276022249529262;-1.0469292396145427;0.20179252118611385;0.18967942390624515;0.07692307692307693
58.413956;62.266743;7.4005237;7.4005237;1.1777946;0.0;0;-26.770888295553807;-10.965575598917724;27.758603025244255;10.965575598917724;-1.1704797520638506;0.20179252118611385;0.18967942390624515;0.3333333333333333
64.98816;30.690315;22.456404;22.456404;0.9172555;0.0;0;-34.01404208701519;-17.084715372753067;34.32481781442432;17.084715372753067;-1.0861483625799206;0.20179252118611385;0.18967942390624515;0.02564102564102564
8.453588;43.170704;9.054936;9.054936;1.2304337;0.0;0;-27.930365915343444;-11.721695322496913;28.51226592854473;11.721695322496913;-1.1496257399381715;0.20179252118611385;0.1896794239062452;0.28205128205128205
41.586582;55.43427;12.678676;12.678676;1.092264;0.0;0;-29.187822701181695;-12.308776794418435;29.70824079664663;12.308776794418435;-1.1326119220766817;0.20179252118611385;0.18967942390624515;0.2564102564102564
4.1710014;55.25927;16.36002;16.36002;1.1280757;0.0;0;-30.550062587500122;-13.612620853934033;30.852775252414833;13.612620853934033;-1.0689784308949761;0.20179252118611385;0.1896794239062452;0.1794871794871795
49.40414;4.195734;4.195734;4.195734;1.2238756;0.0;0;-24.221603525468545;-15.568395953766412;24.897616429605133;15.568395953766412;-1.2156033124905699;0.20179252118611385;0.18967942390624515;0.1282051282051282
32.99282;43.95378;1.1115578;1.1115578;0.8694674;0.0;0;-23.732880112960625;-9.06224639408515;26.08581671212011;9.350614880926202;0.38469706999083453;0.3394110335863994;0.22698199068735847;0.28205128205128205
14.460974;21.389677;21.389677;18.523026;1.0336455;0.0;0;-35.38515529611604;-18.389673840117894;35.58996143958127;18.389673840117894;-1.0480299578451735;0.20179252118611385;0.18967942390624515;0.05128205128205128
10.349263;91.67034;12.390671;12.390671;0.7703629;0.0;0;-28.4339537277773;-11.517924560121543;29.25908583025739;11.517924560121543;-1.1485563943924757;0.20179252118611385;0.18967942390624515;0.3076923076923077
58.76858;97.65823;38.321056;38.321056;0.80037934;0.0;0;-32.4646391260696;-14.891331931002185;32.772934851015506;14.891331931002185;-1.085256278888375;0.20179252118611385;0.18967942390624515;0.07692307692307693
17.06759;29.971693;29.971693;29.971693;0.93329346;0.0;0;-35.68364479528128;-19.308423954789617;35.93987192269849;19.308423954789617;-1.0665266415650758;0.20179252118611385;0.18967942390624515;0.05128205128205128
92.512764;17.526789;10.665731;5.86397;1.0912509;0.0;0;-29.83808272886669;-13.929665811877243;30.268063510165746;13.929665811877243;-1.1290277089120622;0.20179252118611385;0.18967942390624515;0.10256410256410256
58.110302;21.95822;21.95822;21.95822;1.1658468;0.0;0;-34.77197067950987;-18.885520096538556;35.05458466238759;18.885520096538556;-1.0760182786810064;0.20179252118611385;0.18967942390624515;0.02564102564102564
34.693512;47.78045;47.78045;47.78045;0.8782021;0.0;0;-36.139860122793166;-19.5880585269106;36.430916349328804;19.5880585269106;-1.0790550449741714;0.20179252118611385;0.18967942390624515;0.02564102564102564
59.09564;87.45181;55.70069;55.70069;1.1245387;0.0;0;-34.1660115013277;-16.99822580344008;34.49398253558224;16.99822580344008;-1.0923337003105897;0.20179252118611385;0.18967942390624515;0.02564102564102564
2.290159;50.00862;21.042255;21.042255;0.8621456;0.0;0;-31.975833822454376;-14.688536308879065;32.43963527054825;14.688536308879065;-1.1411933683145423;0.20179252118611385;0.18967942390624515;0.1282051282051282
